"","Group.1","Group.2","x","year"
"527","Eating out","E06000021",7.942548917,2010
"528","Eggs","E06000021",0.274854871,2010
"529","Fish","E06000021",0.954141014,2010
"530","Fruit","E06000021",1.68439132,2010
"531","Milk products","E06000021",2.681358408,2010
"532","Non alcoholic drinks","E06000021",1.318730203,2010
"533","Oils and fats","E06000021",0.348574018,2010
"534","Other","E06000021",1.199013876,2010
"535","Pasta","E06000021",0.178114824,2010
"536","Poultry","E06000021",0.82763032,2010
"537","Processed and Other Meat","E06000021",0.008776562,2010
"538","Processed Meat","E06000021",2.747745676,2010
"539","Red Meat","E06000021",1.26293111,2010
"540","Rice","E06000021",0.147843399,2010
"541","Sauces and spices","E06000021",0.086508676,2010
"542","Sugar confectionary and jam","E06000021",1.485180108,2010
"543","Takeaway","E06000021",1.716288842,2010
"544","Tea","E06000021",0.202517353,2010
"545","Tobacco","E06000021",2.082794685,2010
"546","Vegtables","E06000021",3.076526845,2010
"547","Alcohol at home","E06000022",3.318930363,2010
"548","Alcohol away from home","E06000022",3.302502472,2010
"549","Bread","E06000022",1.886120459,2010
"550","Butter","E06000022",0.170658554,2010
"551","Cakes puddings and pastry","E06000022",0.909970545,2010
"552","Coffee","E06000022",0.27620617,2010
"553","Eating out","E06000022",8.885185003,2010
"554","Eggs","E06000022",0.283462444,2010
"555","Fish","E06000022",1.033747009,2010
"556","Fruit","E06000022",1.794173242,2010
"557","Milk products","E06000022",2.731151803,2010
"558","Non alcoholic drinks","E06000022",1.311420372,2010
"559","Oils and fats","E06000022",0.345373356,2010
"560","Other","E06000022",1.222765796,2010
"561","Pasta","E06000022",0.175803376,2010
"562","Poultry","E06000022",0.828082507,2010
"563","Processed and Other Meat","E06000022",0.006539169,2010
"564","Processed Meat","E06000022",2.836264589,2010
"565","Red Meat","E06000022",1.310008188,2010
"566","Rice","E06000022",0.132684197,2010
"567","Sauces and spices","E06000022",0.08581035,2010
"568","Sugar confectionary and jam","E06000022",1.541014978,2010
"569","Takeaway","E06000022",1.70652087,2010
"570","Tea","E06000022",0.212541181,2010
"571","Tobacco","E06000022",1.897219989,2010
"572","Vegtables","E06000022",3.191303854,2010
"573","Alcohol at home","E06000023",3.099284377,2010
"574","Alcohol away from home","E06000023",3.429585664,2010
"575","Bread","E06000023",1.740481334,2010
"576","Butter","E06000023",0.147629431,2010
"577","Cakes puddings and pastry","E06000023",0.847549157,2010
"578","Coffee","E06000023",0.238279461,2010
"579","Eating out","E06000023",8.890647526,2010
"580","Eggs","E06000023",0.263360478,2010
"581","Fish","E06000023",0.923516015,2010
"582","Fruit","E06000023",1.62734901,2010
"583","Milk products","E06000023",2.510024306,2010
"584","Non alcoholic drinks","E06000023",1.286978675,2010
"585","Oils and fats","E06000023",0.318769753,2010
"586","Other","E06000023",1.152443047,2010
"587","Pasta","E06000023",0.177311461,2010
"588","Poultry","E06000023",0.785150845,2010
"589","Processed and Other Meat","E06000023",0.009753244,2010
"590","Processed Meat","E06000023",2.564718943,2010
"591","Red Meat","E06000023",1.159195537,2010
"592","Rice","E06000023",0.145921955,2010
"593","Sauces and spices","E06000023",0.083687624,2010
